Baseline 100%T,,Pyranine in 10M water in 70:30 1-butanol:acetonitrile,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
460.188324,0.05137873814,460.188324,0.004539946094,
459.9967651,0.05072565749,459.9967651,0.004479159135,
459.8052673,0.05086943135,459.8052673,0.004493674729,
459.5754395,0.05092944577,459.5754395,0.004484128207,
459.3838806,0.05098643899,459.3838806,0.004509472754,
459.1923828,0.05109136924,459.1923828,0.00441987114,
459.0007629,0.05111603066,459.0007629,0.004505366553,
458.8092651,0.05118653551,458.8092651,0.004505235702,
458.5793457,0.05130071566,458.5793457,0.004523100331,
458.3878479,0.05135114491,458.3878479,0.004544288386,
458.196228,0.05138121545,458.196228,0.004555824213,
458.0046692,0.05148565397,458.0046692,0.004586692899,
457.8131104,0.05143340304,457.8131104,0.004693520721,
457.5831604,0.05159690976,457.5831604,0.004577745683,
457.3916016,0.05169822276,457.3916016,0.004625412636,
457.1999817,0.05173129216,457.1999817,0.004622848704,
457.0083313,0.05178314075,457.0083313,0.004616255406,
456.7784119,0.05186332017,456.7784119,0.004648462869,
456.5867615,0.05185515434,456.5867615,0.004714324139,
456.3951111,0.05196898431,456.3951111,0.004630540498,
456.2034912,0.05203492939,456.2034912,0.004620023072,
456.0118408,0.05210905522,456.0118408,0.004653434269,
455.7818298,0.05220505968,455.7818298,0.004571153782,
455.5901489,0.05225903913,455.5901489,0.004491504282,
455.398468,0.0523449108,455.398468,0.004526579287,
455.2068176,0.05242709443,455.2068176,0.004415373318,
454.9767761,0.05247633904,454.9767761,0.004431900568,
454.7851257,0.05251989514,454.7851257,0.004444793798,
454.5933533,0.05263094977,454.5933533,0.004354211502,
454.4017029,0.05265871063,454.4017029,0.004371939693,
454.2099609,0.05278701708,454.2099609,0.004292849451,
453.9798889,0.05283212662,453.9798889,0.004340066575,
453.788147,0.05289621279,453.788147,0.004314810038,
453.596405,0.05296527967,453.596405,0.004371756688,
453.4046326,0.0530577302,453.4046326,0.004277712665,
453.2129211,0.05311825126,453.2129211,0.004208886065,
452.9827881,0.05318592116,452.9827881,0.004254342522,
452.7910156,0.05323730037,452.7910156,0.004258472472,
452.5992737,0.0533339642,452.5992737,0.004161787685,
452.4074707,0.05338747054,452.4074707,0.004167197738,
452.1773376,0.05347099155,452.1773376,0.004124154337,
451.9855347,0.05349045992,451.9855347,0.004123474937,
451.7937622,0.05351075158,451.7937622,0.004170804285,
451.6019287,0.05356228724,451.6019287,0.004114433192,
451.4101257,0.05357988551,451.4101257,0.004201436415,
451.1798706,0.05369056761,451.1798706,0.004181598779,
450.9881287,0.05375114828,450.9881287,0.004131210502,
450.7962646,0.05381396785,450.7962646,0.004093762953,
450.6043701,0.0538781397,450.6043701,0.004101001192,
450.4125671,0.05393244326,450.4125671,0.004054594319,
450.182312,0.05397705361,450.182312,0.004097238649,
449.9904785,0.05402436852,449.9904785,0.004073825199,
449.798584,0.05399666354,449.798584,0.004179743119,
449.60672,0.05400314182,449.60672,0.004202926531,
449.3764648,0.05395882204,449.3764648,0.004306339659,
449.1845093,0.0539149493,449.1845093,0.004395264201,
448.9926147,0.0546595268,448.9926147,0.004407397471,
448.8007813,0.05467943475,448.8007813,0.004553417675,
448.6088257,0.05469719693,448.6088257,0.004611415323,
448.37854,0.0547282882,448.37854,0.004635145422,
448.1865845,0.05474217981,448.1865845,0.004680358805,
447.9946289,0.05476505309,447.9946289,0.004741749261,
447.8027039,0.05486981198,447.8027039,0.004671435803,
447.6107483,0.05492635444,447.6107483,0.004633653909,
447.3804016,0.0549390465,447.3804016,0.004700062331,
447.1884155,0.05494733155,447.1884155,0.0047535263,
446.9963989,0.05423087999,446.9963989,0.004726754036,
446.8044739,0.05428458378,446.8044739,0.004758603405,
446.6124573,0.05432489142,446.6124573,0.004731255118,
446.3821106,0.05441868678,446.3821106,0.004722907208,
446.1900635,0.05439920351,446.1900635,0.004837019369,
445.9980774,0.05445260555,445.9980774,0.004869373981,
445.8060913,0.05447003618,445.8060913,0.004862174857,
445.5756531,0.05452203751,445.5756531,0.00489366753,
445.3836365,0.05450642481,445.3836365,0.004943437409,
445.1915894,0.05456482992,445.1915894,0.004904584493,
444.9995728,0.05464109406,444.9995728,0.004925005138,
444.8075256,0.05469100177,444.8075256,0.004881913308,
444.5770264,0.05469355732,444.5770264,0.004938698374,
444.3849792,0.05472324044,444.3849792,0.004938200582,
444.1929321,0.05475004762,444.1929321,0.004912909586,
444.0008545,0.05484610796,444.0008545,0.004953910131,
