50:50 1but:aceto + 5M H2O,,pyranine in 50:50 mol% 1but:acetonitrile + 5M H2O,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
,,448.2000122,319.9389343,
,,448.3500061,317.8453064,
,,448.6499939,317.3713379,
,,448.7999878,316.833252,
,,448.9500122,315.4989319,
,,449.25,310.6672058,
,,449.3999939,308.66922,
,,449.5499878,308.7757568,
,,449.8500061,306.4189148,
,,450,305.7136536,
,,450.1499939,303.4075012,
,,450.4500122,300.3653564,
,,450.6000061,299.3750305,
,,450.75,297.6697693,
,,451.0599976,296.1819153,
,,451.2099915,296.4955139,
,,451.3599854,293.448822,
,,451.6600037,290.7573547,
,,451.8099976,288.5695801,
,,451.9599915,288.7858276,
,,452.269989,285.4210205,
,,452.4200134,285.6391296,
,,452.5700073,284.6708984,
,,452.7200012,282.7470093,
,,453.0299988,279.1247864,
,,453.1799927,275.7840271,
,,453.3299866,277.5692444,
,,453.6300049,275.7538147,
,,453.7799988,275.1403809,
,,453.9299927,271.5913086,
,,454.2399902,269.1046143,
,,454.3900146,267.4595032,
,,454.5400085,266.7645264,
,,454.8399963,265.2033386,
,,455,263.472229,
,,455.1499939,261.1399231,
,,455.4500122,258.9624634,
,,455.6000061,256.5749512,
,,455.75,255.9675903,
,,456.0599976,253.1073914,
,,456.2099915,254.4598541,
,,456.3599854,249.496933,
,,456.6600037,249.2159576,
,,456.8099976,247.2492523,
,,456.9599915,246.1379395,
,,457.269989,245.3587494,
,,457.4200134,243.4881439,
,,457.5700073,242.5320129,
,,457.7200012,240.5237732,
,,458.0299988,237.8398438,
,,458.1799927,236.7178497,
,,458.3299866,237.2457581,
,,458.6300049,234.6534424,
,,458.7799988,232.1329498,
,,458.9299927,231.7465973,
,,459.2399902,228.7332764,
,,459.3900146,226.0678711,
,,459.5400085,226.2570648,
,,459.8399963,224.4997101,
,,460,223.6334076,
,,460.1400146,220.840271,
,,460.4400024,218.4384613,
,,460.5899963,219.6508026,
,,460.7399902,217.0367279,
,,461.0400085,215.3821564,
,,461.1900024,213.9897003,
,,461.3399963,212.8029633,
,,461.6400146,211.8848114,
,,461.7900085,209.8011169,
,,461.9400024,210.0117188,
,,462.230011,207.3629456,
,,462.3800049,206.5782623,
,,462.5299988,205.6791687,
,,462.8299866,203.0206299,
,,462.980011,202.4583435,
,,463.1300049,201.5078583,
,,463.4299927,199.6193237,
